"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CASS","Cass Information Systems, Inc","58.21","715212707.07","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cass",
"CATB","Catabasis Pharmaceuticals, Inc.","1.86","54006033.72","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/catb",
"CBIO","Catalyst Biosciences, Inc. ","26.02","309472616.88","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cbio",
"CPRX","Catalyst Pharmaceuticals, Inc.","2.5","256390410","n/a","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cprx",
"CATS","Catasys, Inc.","4.6","73200586.6","n/a","n/a","Health Care","Hospital/Nursing Management","https://www.nasdaq.com/symbol/cats",
"CATY","Cathay General Bancorp","39.51","3204953254.71","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/caty",
"CATYW","Cathay General Bancorp","22.21","0","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/catyw",
"CVCO","Cavco Industries, Inc.","169.7","1533528838.5","n/a","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/cvco",
"CAVM","Cavium, Inc.","82.15","5738093131.95","n/a","2007","Technology","Semiconductors","https://www.nasdaq.com/symbol/cavm",
"CBFV","CB Financial Services, Inc.","30.0735","123179762.8395","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/cbfv",
"CBAK","CBAK Energy Technology, Inc.","1.4","36712643.8","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cbak",
"CBOE","Cboe Global Markets, Inc.","112.06","12629716136.7","n/a","2010","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/cboe",
"CBTX","CBTX, Inc.","29","720157000","n/a","2017","Finance","Major Banks","https://www.nasdaq.com/symbol/cbtx",
"CDK","CDK Global, Inc.","62.84","8455654506.16","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cdk",
"CDTI","CDTI Advanced Materials, Inc.","1.02","16118994.72","n/a","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/cdti",
"CDW","CDW Corporation","70.21","10701648528.83","n/a","2013","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/cdw",
"CECE","CECO Environmental Corp.","4.51","156663121.34","n/a","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/cece",
"CELC","Celcuity Inc.","16.14","163118328.96","n/a","2017","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/celc",
"CELG","Celgene Corporation","85.81","64544188922.48","n/a","1987","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/celg",
